"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","1986-06",7.653986,
"AUS","HUR","TOT","PC_LF","M","1986-07",8.113456,
"AUS","HUR","TOT","PC_LF","M","1986-08",8.240011,
"AUS","HUR","TOT","PC_LF","M","1986-09",8.338832,
"AUS","HUR","TOT","PC_LF","M","1986-10",8.309989,
"AUS","HUR","TOT","PC_LF","M","1986-11",8.319098,
"AUS","HUR","TOT","PC_LF","M","1986-12",8.363632,
"AUS","HUR","TOT","PC_LF","M","1987-01",8.186926,
"AUS","HUR","TOT","PC_LF","M","1987-02",8.211452,
"AUS","HUR","TOT","PC_LF","M","1987-03",8.436976,
"AUS","HUR","TOT","PC_LF","M","1987-04",8.300848,
"AUS","HUR","TOT","PC_LF","M","1987-05",8.202143,
"AUS","HUR","TOT","PC_LF","M","1987-06",8.00923,
"AUS","HUR","TOT","PC_LF","M","1987-07",8.080571,
"AUS","HUR","TOT","PC_LF","M","1987-08",8.105987,
"AUS","HUR","TOT","PC_LF","M","1987-09",7.75569,
"AUS","HUR","TOT","PC_LF","M","1987-10",8.085977,
"AUS","HUR","TOT","PC_LF","M","1987-11",7.931388,
"AUS","HUR","TOT","PC_LF","M","1987-12",7.728188,
"AUS","HUR","TOT","PC_LF","M","1988-01",7.631596,
"AUS","HUR","TOT","PC_LF","M","1988-02",7.417233,
"AUS","HUR","TOT","PC_LF","M","1988-03",7.506388,
"AUS","HUR","TOT","PC_LF","M","1988-04",7.913608,
"AUS","HUR","TOT","PC_LF","M","1988-05",7.451513,
"AUS","HUR","TOT","PC_LF","M","1988-06",7.569357,
"AUS","HUR","TOT","PC_LF","M","1988-07",6.761295,
"AUS","HUR","TOT","PC_LF","M","1988-08",7.068964,
"AUS","HUR","TOT","PC_LF","M","1988-09",6.934753,
"AUS","HUR","TOT","PC_LF","M","1988-10",6.817863,
"AUS","HUR","TOT","PC_LF","M","1988-11",6.612963,
"AUS","HUR","TOT","PC_LF","M","1988-12",6.832502,
"AUS","HUR","TOT","PC_LF","M","1989-01",6.807849,
"AUS","HUR","TOT","PC_LF","M","1989-02",6.638011,
"AUS","HUR","TOT","PC_LF","M","1989-03",6.340587,
"AUS","HUR","TOT","PC_LF","M","1989-04",6.200631,
"AUS","HUR","TOT","PC_LF","M","1989-05",6.279995,
"AUS","HUR","TOT","PC_LF","M","1989-06",6.012618,
"AUS","HUR","TOT","PC_LF","M","1989-07",6.04753,
"AUS","HUR","TOT","PC_LF","M","1989-08",5.944507,
"AUS","HUR","TOT","PC_LF","M","1989-09",6.031369,
"AUS","HUR","TOT","PC_LF","M","1989-10",5.924166,
"AUS","HUR","TOT","PC_LF","M","1989-11",5.786893,
"AUS","HUR","TOT","PC_LF","M","1989-12",5.847961,
"AUS","HUR","TOT","PC_LF","M","1990-01",6.112967,
"AUS","HUR","TOT","PC_LF","M","1990-02",6.391857,
"AUS","HUR","TOT","PC_LF","M","1990-03",6.185226,
"AUS","HUR","TOT","PC_LF","M","1990-04",6.27958,
"AUS","HUR","TOT","PC_LF","M","1990-05",6.50461,
"AUS","HUR","TOT","PC_LF","M","1990-06",6.609394,
"AUS","HUR","TOT","PC_LF","M","1990-07",7.089344,
"AUS","HUR","TOT","PC_LF","M","1990-08",7.212105,
"AUS","HUR","TOT","PC_LF","M","1990-09",7.374674,
"AUS","HUR","TOT","PC_LF","M","1990-10",7.637266,
"AUS","HUR","TOT","PC_LF","M","1990-11",7.946186,
"AUS","HUR","TOT","PC_LF","M","1990-12",8.019076,
"AUS","HUR","TOT","PC_LF","M","1991-01",8.397584,
"AUS","HUR","TOT","PC_LF","M","1991-02",8.617149,
"AUS","HUR","TOT","PC_LF","M","1991-03",9.182943,
"AUS","HUR","TOT","PC_LF","M","1991-04",9.861391,
"AUS","HUR","TOT","PC_LF","M","1991-05",9.502949,
"AUS","HUR","TOT","PC_LF","M","1991-06",9.537468,
"AUS","HUR","TOT","PC_LF","M","1991-07",9.690079,
"AUS","HUR","TOT","PC_LF","M","1991-08",9.788196,
"AUS","HUR","TOT","PC_LF","M","1991-09",10.03317,
"AUS","HUR","TOT","PC_LF","M","1991-10",9.987298,
"AUS","HUR","TOT","PC_LF","M","1991-11",10.19815,
"AUS","HUR","TOT","PC_LF","M","1991-12",10.47358,
"AUS","HUR","TOT","PC_LF","M","1992-01",10.34763,
"AUS","HUR","TOT","PC_LF","M","1992-02",10.40541,
"AUS","HUR","TOT","PC_LF","M","1992-03",10.49678,
"AUS","HUR","TOT","PC_LF","M","1992-04",10.47098,
"AUS","HUR","TOT","PC_LF","M","1992-05",10.61918,
"AUS","HUR","TOT","PC_LF","M","1992-06",10.81208,
"AUS","HUR","TOT","PC_LF","M","1992-07",11.12781,
"AUS","HUR","TOT","PC_LF","M","1992-08",10.72329,
"AUS","HUR","TOT","PC_LF","M","1992-09",10.61706,
"AUS","HUR","TOT","PC_LF","M","1992-10",11.09143,
"AUS","HUR","TOT","PC_LF","M","1992-11",11.13654,
"AUS","HUR","TOT","PC_LF","M","1992-12",11.21727,
"AUS","HUR","TOT","PC_LF","M","1993-01",10.83435,
"AUS","HUR","TOT","PC_LF","M","1993-02",11.01485,
"AUS","HUR","TOT","PC_LF","M","1993-03",10.85808,
"AUS","HUR","TOT","PC_LF","M","1993-04",10.76626,
"AUS","HUR","TOT","PC_LF","M","1993-05",10.78655,
"AUS","HUR","TOT","PC_LF","M","1993-06",10.99423,
"AUS","HUR","TOT","PC_LF","M","1993-07",10.93708,
"AUS","HUR","TOT","PC_LF","M","1993-08",10.98404,
"AUS","HUR","TOT","PC_LF","M","1993-09",10.74207,
"AUS","HUR","TOT","PC_LF","M","1993-10",10.95756,
"AUS","HUR","TOT","PC_LF","M","1993-11",10.94914,
"AUS","HUR","TOT","PC_LF","M","1993-12",10.75627,
"AUS","HUR","TOT","PC_LF","M","1994-01",10.5693,
"AUS","HUR","TOT","PC_LF","M","1994-02",10.39924,
"AUS","HUR","TOT","PC_LF","M","1994-03",10.35354,
"AUS","HUR","TOT","PC_LF","M","1994-04",10.06194,
"AUS","HUR","TOT","PC_LF","M","1994-05",9.766715,
"AUS","HUR","TOT","PC_LF","M","1994-06",9.821051,
"AUS","HUR","TOT","PC_LF","M","1994-07",9.628225,
"AUS","HUR","TOT","PC_LF","M","1994-08",9.445055,
"AUS","HUR","TOT","PC_LF","M","1994-09",9.35337,
"AUS","HUR","TOT","PC_LF","M","1994-10",9.092684,
"AUS","HUR","TOT","PC_LF","M","1994-11",9.142927,
"AUS","HUR","TOT","PC_LF","M","1994-12",8.935227,
"AUS","HUR","TOT","PC_LF","M","1995-01",8.857431,
"AUS","HUR","TOT","PC_LF","M","1995-02",8.823534,
"AUS","HUR","TOT","PC_LF","M","1995-03",8.616904,
"AUS","HUR","TOT","PC_LF","M","1995-04",8.266646,
"AUS","HUR","TOT","PC_LF","M","1995-05",8.474423,
"AUS","HUR","TOT","PC_LF","M","1995-06",8.354201,
"AUS","HUR","TOT","PC_LF","M","1995-07",8.424809,
"AUS","HUR","TOT","PC_LF","M","1995-08",8.320124,
"AUS","HUR","TOT","PC_LF","M","1995-09",8.362126,
"AUS","HUR","TOT","PC_LF","M","1995-10",8.575137,
"AUS","HUR","TOT","PC_LF","M","1995-11",8.451815,
"AUS","HUR","TOT","PC_LF","M","1995-12",8.144064,
"AUS","HUR","TOT","PC_LF","M","1996-01",8.45447,
"AUS","HUR","TOT","PC_LF","M","1996-02",8.326778,
"AUS","HUR","TOT","PC_LF","M","1996-03",8.420975,
"AUS","HUR","TOT","PC_LF","M","1996-04",8.578247,
